Player,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"Peter Crouch

Tottenham, 39, FW",20(14),1935,4,6,1.5,0.8,0.3,1.1,0.2,1.2,1.2,6.83
"Ali Al Habsi

Wigan, 38, GK",34,3060,-,1,-,0.1,-,0.1,-,-,-,6.82
"Ryan Bertrand

Chelsea, 31, D(CL),M(L)",0(1),33,-,1,-,1,-,1,-,-,-,6.82
"José Bosingwa

Chelsea, 38, D(CLR)",13(7),1263,-,-,0.8,0.9,1,0.8,0.1,0.9,0.7,6.82
"Stephen Kelly

Fulham, 37, D(LR)",8(2),729,-,-,-,0.6,0.1,0.4,-,0.1,0.4,6.82
"Maynor Figueroa

Wigan, 37, D(CL),M(L)",32(1),2812,1,2,0.6,0.5,0.6,0.9,-,0.5,0.7,6.82
"Wes Brown

Man Utd, 40, D(C)",4(3),427,-,-,0.3,0.7,0.6,0.1,-,0.6,0.3,6.82
"Fabricio Coloccini

Newcastle, 38, D(C)",35,3082,2,-,0.3,0.2,0.3,0.6,-,0.2,0.3,6.81
"Christophe Berra

Wolves, 35, D(C)",31(1),2790,-,-,0.6,0.2,0.1,1.3,0.1,0.1,0.3,6.81
"Sotirios Kyrgiakos

Liverpool, 41, D(L),DMC",10(6),1080,2,-,0.9,0.2,0.1,0.8,0.1,0.3,0.3,6.81
"Danny Gabbidon

West Ham, 41, D(C)",24(2),2181,-,-,0.3,0.3,0.4,0.2,-,0.4,0.2,6.81
"Damien Duff

Fulham, 41, M(LR)",22(2),1884,4,2,1.6,1.2,0.5,1.9,0.3,1.3,1.6,6.81
"Steven Taylor

Newcastle, 34, D(C)",12(2),1008,3,1,0.8,0.2,0.1,0.4,-,0.1,0.1,6.81
"Wojciech Szczesny

Arsenal, 30, GK",15,1350,-,-,-,-,0.1,0.1,-,-,-,6.80
"Kevin Doyle

Wolves, 36, M(C),FW",25(1),2188,5,4,2,1.1,0.6,2.7,0.7,2.8,2.3,6.80
"George Elokobi

Wolves, 34, D(C)",23(4),2120,2,2,0.5,0.4,0.4,0.3,-,0.4,0.6,6.80
"Carlo Cudicini

Tottenham, 47, GK",8,720,-,-,-,-,-,0.3,-,-,-,6.80
"Andy Wilkinson

Stoke, 36, D(LR)",21(1),1752,-,1,0.3,0.2,0.4,0.3,-,0.7,0.4,6.80
"Steed Malbranque

Sunderland, 40, M(C)",24(11),2176,-,3,1.3,1.1,1.1,1.3,0.1,2,1.7,6.79
"Mark Schwarzer

Fulham, 47, GK",31,2790,-,-,-,0.1,-,0.4,-,-,-,6.79
"Louis Saha

Everton, 42, AM(L),FW",14(8),1372,7,-,3,1,0.7,1.6,0.3,1.8,1.9,6.79
"Alex Baptiste

Blackpool, 34, D(CLR)",19(2),1729,2,-,0.7,0.2,-,0.5,-,0.5,0.5,6.78
"Paul Scholes

Man Utd, 45, M(C)",16(6),1536,1,3,0.9,0.9,0.3,0.3,-,0.5,0.3,6.78
"Paul Robinson

Bolton, 41, D(CL)",35,3150,-,-,-,0.4,0.3,0.8,0.1,0.3,0.6,6.78
"Gaël Givet

Blackburn, 38, D(C),DMC",29,2455,1,-,0.3,0.2,-,0.5,-,0.1,0.2,6.78
"Adam Johnson

Man City, 33, M(CLR)",15(16),1531,4,5,1.2,1.2,1.1,0.7,0.3,0.7,0.8,6.78
"Yuri Zhirkov

Chelsea, 37, D(L),M(CL)",6(6),606,-,2,0.8,0.9,0.8,0.8,-,0.7,0.8,6.77
"Tal Ben Haim

West Ham, 38, D(C)",8,713,-,1,-,0.8,0.4,0.9,-,0.5,0.3,6.77
"El Hadji Diouf

Blackburn, 39, D(C),M(CLR),FW",18(2),1563,-,3,1,1.2,0.7,2.6,0.5,1.2,1.5,6.77
"Colin Doyle

Birmingham, 35, Goalkeeper",0(1),49,-,-,-,-,-,-,-,-,-,6.77
"James Milner

Man City, 34, D(LR),M(CLR)",23(9),2050,-,6,0.8,1.5,0.6,1.3,0.2,1.6,1.3,6.77
"Jussi Jääskeläinen

Bolton, 45, GK",35,3096,-,-,-,-,-,0.1,-,-,-,6.76
"Stephen Crainey

Blackpool, 39, D(L),M(L)",31,2749,-,-,0.1,1,0.1,0.2,-,0.5,0.5,6.76
"Jon Flanagan

Liverpool, 27, D(LR)",7,621,-,-,0.4,0.4,0.6,0.6,-,0.7,1.1,6.76
"Sébastien Squillaci

Arsenal, 40, D(C)",20(2),1818,1,-,0.5,0.3,-,0.4,-,0.3,0.2,6.76
"Michael Turner

Sunderland, 36, D(C)",15,1306,-,-,0.1,0.2,-,0.7,0.1,0.2,0.1,6.75
"Neal Eardley

Blackpool, 31, D(R)",30(1),2561,1,-,0.6,0.7,0.4,0.4,0.1,0.5,0.7,6.75
"Emmerson Boyce

Wigan, 40, D(CR),M(R)",20(2),1673,-,-,0.3,0.7,0.7,0.4,-,0.5,0.8,6.75
"Paul Robinson

Blackburn, 40, GK",36,3196,-,1,-,0.3,-,0.1,-,-,-,6.75
"Andy Carroll

Liverpool, 31, FW",5(2),447,2,-,2.3,1.3,0.3,0.9,0.6,1.9,2.1,6.75
"Jason Puncheon

Blackpool, 34, M(CLR)",6(5),648,3,-,1.9,1,1.3,0.1,0.5,2.3,1.5,6.75
"Lukasz Fabianski

Arsenal, 35, GK",14,1260,-,1,-,0.1,-,0.1,-,-,-,6.75
"Martin Olsson

Blackburn, 32, D(L),M(L)",25(4),2371,2,1,1,0.5,0.8,1.3,-,0.9,1.3,6.75
"Robert Green

West Ham, 40, GK",37,3330,-,-,-,0.1,-,0.1,-,-,-,6.74
"Steven Reid

West Brom, 39, D(R)",13(10),1277,1,5,0.4,0.7,0.3,0.9,-,0.3,0.3,6.74
"Craig Cathcart

Blackpool, 31, D(CR)",28(2),2390,1,-,0.3,0.3,-,0.5,-,-,0.1,6.74
"Séamus Coleman

Everton, 31, D(R),M(R)",25(9),2259,4,1,1.2,0.7,1.3,1.4,0.1,1.8,1.6,6.74
"Steven Nzonzi

Blackburn, 31, M(C)",13(8),1268,1,-,0.9,0.3,0.1,0.5,0.1,0.2,0.7,6.74
"Rory Delap

Stoke, 44, D(C),M(CR),FW",33(4),2962,2,1,0.5,1.1,0.4,0.6,0.1,0.6,0.7,6.74
"Mark Bunn

Blackburn, 35, GK",2(1),225,-,-,-,-,-,-,-,-,-,6.74
"Christian Poulsen

Liverpool, 40, M(C)",9(3),744,-,-,0.3,0.8,0.1,0.6,-,0.4,0.8,6.74
"Tom Cleverley

Wigan, 31, M(CLR)",19(6),1634,3,2,1.6,1,0.6,0.9,-,1.7,1,6.73
"Gary Caldwell

Wigan, 38, D(C)",23,1977,-,1,0.3,0.6,-,0.6,-,0.1,0.1,6.72
"Shola Ameobi

Newcastle, 38, FW",21(7),1759,6,3,1.9,0.5,0.7,1.4,0.6,1.8,1.8,6.72
"Abdoulaye Diagne-Faye

Stoke, 42, D(CL),DMC",12(2),1125,1,-,0.3,0.1,0.1,0.8,0.1,0.4,0.2,6.72
"Simon Mignolet

Sunderland, 32, GK",23,2070,-,-,-,-,0.1,0.2,-,-,-,6.72
"Hendry Thomas

Wigan, 35, M(C)",22(2),1887,-,-,0.3,0.3,0.1,1,-,0.6,0.5,6.71
"Darren Bent

Sunderland, 36, FW",20,1750,8,-,3.1,1.1,0.3,1,1.9,1.5,2.6,6.71
"Ruud Boffin

West Ham, 32, GK",1,90,-,-,-,-,1,1,-,-,-,6.71
"Danny Higginbotham

Stoke, 41, D(C),DMC",9(1),843,2,-,0.7,0.4,-,0.4,-,0.2,0.3,6.71
"John Pantsil

Fulham, 39, D(R)",15(1),1344,-,-,0.1,0.9,0.6,0.8,-,1.2,0.5,6.71
"Jamie Carragher

Liverpool, 42, D(C)",28,2489,-,-,-,0.3,0.1,0.5,-,0.1,0.1,6.70
"Nigel Reo-Coker

Aston Villa, 36, D(R),M(C)",24(6),2076,-,-,0.3,0.5,0.4,0.9,-,1.2,0.7,6.70
"Wayne Bridge

West Ham, 40, D(L)",15,1349,-,2,0.3,1.5,0.4,0.5,0.1,1.1,1.1,6.70
"DJ Campbell

Blackpool, 38, AM(LR),FW",30(1),2628,13,1,2.3,0.7,0.5,1.5,0.6,2.9,2.6,6.70
"Fabio

Man Utd, 30, D(LR),M(R)",5(6),556,1,-,0.1,-,0.5,0.4,-,0.6,0.6,6.70
"Pepe Reina

Liverpool, 38, GK",38,3420,-,-,-,0.1,-,0.3,-,-,-,6.70
"Danny Collins

Stoke, 40, D(C)",23(2),2031,-,-,0.2,0.5,0.1,0.4,-,0.4,0.2,6.69
"David Bentley

Tottenham, 36, D(C)",1(1),102,-,-,3,3,-,2,-,1.5,0.5,6.69
"Craig Gordon

Sunderland, 37, GK",15,1350,-,-,-,-,-,0.2,-,-,-,6.69
"Jody Craddock

Wolves, 45, D(CL)",14(1),1176,1,-,0.6,0.1,-,0.7,-,0.1,0.3,6.69
"Barry Ferguson

Birmingham, 42, M(C)",35,3150,-,-,0.1,0.7,0.2,1.1,-,0.8,0.4,6.69
"David Bentley

Birmingham, 36, D(C)",9(4),818,-,1,2,1.2,1.5,1.5,0.1,1.2,1.5,6.68
"Chicharito

Man Utd, 32, FW",15(12),1482,13,1,2,0.6,0.2,1,0.9,0.9,1.2,6.68
"Nikola Zigic

Birmingham, 39, FW",13(12),1311,5,3,1.2,0.7,0.1,0.4,1,1,1,6.68
"Paul Konchesky

Liverpool, 39, D(L)",15,1252,-,1,0.2,0.6,0.1,0.3,-,0.9,0.9,6.68
"James Morrison

West Brom, 34, M(CR)",26(5),2282,4,3,1.8,1.4,0.7,0.6,0.1,1.8,1.2,6.68
"Chris Basham

Blackpool, 32, D(CR),M(CR)",1(1),121,-,1,-,0.5,1.5,-,-,-,-,6.68
"Nathan Baker

Aston Villa, 29, D(CL)",4,249,-,-,0.3,0.5,-,0.5,-,0.5,0.5,6.68
"Jermain Defoe

Tottenham, 37, AM(R),FW",16(6),1481,4,2,3.1,1,0.9,1.2,0.8,1.8,1.5,6.68
"Tomas Rosicky

Arsenal, 39, M(CR)",8(13),929,-,1,1.1,1.3,0.8,0.6,-,0.7,0.4,6.67
"Luke Varney

Blackpool, 37, FW",24(6),2045,5,3,1.8,1.1,0.4,1.1,0.8,1.2,1.1,6.67
"Matthew Jarvis

Wolves, 34, M(LR)",34(3),3056,4,6,1.1,1.8,0.8,0.8,0.2,1.1,1,6.67
"Steven Fletcher

Wolves, 33, FW",15(14),1399,10,2,1.5,0.7,0.2,0.8,0.8,1.6,1,6.67
"Jason Lowe

Blackburn, 29, D(CR),DMC",0(1),66,-,-,1,-,-,-,-,-,1,6.67
"Tuncay Sanli

Stoke, 38, M(L),FW",5(9),710,1,2,1.6,0.6,0.8,1.1,0.2,1.1,1.1,6.67
"Jonathan Hogg

Aston Villa, 31, DMC",5,397,-,-,-,0.6,-,0.8,-,0.8,1.4,6.67
"David Edwards

Wolves, 34, M(CL)",12(3),922,1,1,1.1,0.7,0.1,0.7,0.1,1.1,0.7,6.67
"Habib Beye

Aston Villa, 42, D(R)",2(1),181,-,-,-,0.3,0.3,0.7,-,0.3,0.7,6.67
"Liam Ridgewell

Birmingham, 36, D(CL)",36,3175,4,-,0.3,0.3,0.2,1.6,0.1,0.4,0.6,6.66
"Roman Pavlyuchenko

Tottenham, 38, FW",18(11),1595,9,4,2.6,1,0.4,0.6,0.4,1.7,1.6,6.66
"Edwin van der Sar

Man Utd, 49, GK",33,2970,-,1,-,0.1,-,0.1,-,-,-,6.66
"Stuart Parnaby

Birmingham, 38, D(CR)",5,405,-,-,0.2,0.4,0.4,0.6,-,-,0.4,6.66
"Gonzalo Jara

West Brom, 35, D(CR),DMC",24(5),2106,1,-,0.3,0.8,0.6,0.3,-,0.8,0.7,6.66
"Steve Harper

Newcastle, 45, GK",18,1565,-,-,-,0.1,-,0.1,-,-,-,6.66
"Tony Hibbert

Everton, 39, D(R)",17(3),1452,-,-,0.2,0.9,0.1,0.9,-,0.2,0.6,6.66
"Richard Stearman

Wolves, 33, D(C)",27(4),2499,-,-,0.1,0.1,0.3,0.9,0.1,0.2,0.3,6.66
"Gianni Zuiverloon

West Brom, 33, D(CR)",1(1),116,-,-,0.5,-,-,-,-,-,0.5,6.65
"Stephen Hunt

Wolves, 39, M(L)",14(6),1341,3,2,1.3,1.1,0.2,1.2,0.2,1.5,1.1,6.65
"Jelle Van Damme

Wolves, 36, D(CL)",4(2),280,1,1,0.7,1,0.2,1,0.2,0.3,1.3,6.65
"Jeffrey Bruma

Chelsea, 28, D(C)",1(1),108,-,-,0.5,-,0.5,-,-,-,-,6.65
"Paulo Ferreira

Chelsea, 41, D(R)",12(9),1038,-,2,-,0.3,-,0.1,-,0.3,0.1,6.65
"Fraizer Campbell

Sunderland, 32, FW",3,226,-,-,0.7,0.7,0.3,3,-,1.3,2,6.65
"Jordan Spence

West Ham, 30, D(CR),M(R)",2,180,-,-,-,1,0.5,-,-,-,0.5,6.65
"Matthew Taylor

Bolton, 38, M(CLR)",22(14),1925,2,3,1.9,1.3,0.2,0.3,0.1,0.9,1.3,6.64
"Jonathan Walters

Stoke, 36, M(CLR),FW",27(9),2342,6,2,1.2,0.8,0.3,0.7,0.5,1.6,1.1,6.64
"Jordi Gómez

Wigan, 35, M(CLR)",9(4),726,1,-,1.4,0.7,0.7,1.8,-,1.7,1,6.63
"Wayne Hennessey

Wolves, 33, GK",24,2160,-,-,-,-,-,0.1,-,-,-,6.63
"Fabian Delph

Aston Villa, 30, D(L),M(CL)",4(3),415,-,-,0.3,0.6,0.7,0.7,-,0.9,0.9,6.63
"Ludovic Sylvestre

Blackpool, 36, M(C)",6(2),430,-,-,0.1,1.3,0.5,0.3,-,0.5,0.3,6.63
"Ronnie Stam

Wigan, 36, M(R)",17(8),1587,1,-,0.4,0.9,0.5,0.2,-,0.7,1,6.63
"Xisco

Newcastle, 34, AM(L)",0(2),18,-,1,1,0.5,0.5,-,-,-,-,6.63
"Phil Neville

Everton, 43, M(C)",31,2665,1,1,0.2,0.8,-,0.5,0.1,0.5,0.5,6.62
"Edin Dzeko

Man City, 34, FW",8(7),846,2,2,2.2,0.6,0.7,1.3,0.4,2.3,1.9,6.62
"Hugo Rodallega

Wigan, 35, AM(CL),FW",34(2),3031,9,1,3.9,1,0.5,1.3,0.9,1.8,1.9,6.62
"Dean Whitehead

Stoke, 38, D(R),DMC",31(6),2897,2,1,0.7,0.5,0.1,1.4,-,1.1,0.8,6.61
"Carlos Vela

West Brom, 31, M(CLR),FW",3(5),317,2,1,1.4,1.3,0.5,1.4,0.3,1.3,1.1,6.61
"Gaël Kakuta

Fulham, 29, M(CLR)",2(5),233,1,-,1.4,1,0.9,0.3,-,0.9,0.7,6.61
"Fabrice Muamba

Bolton, 32, M(CR),FW",32(4),2599,1,-,0.6,0.4,0.3,0.4,-,0.6,0.8,6.61
"Brett Emerton

Blackburn, 41, D(C),DMC,M(R)",24(6),2193,4,5,1.2,1.1,0.3,0.5,0.2,1.1,1.1,6.61
"Thomas Sørensen

Stoke, 44, GK",10,900,-,-,-,0.1,-,0.2,-,0.1,-,6.61
"Graham Dorrans

West Brom, 33, M(CLR)",16(5),1422,1,1,1.9,1.3,0.8,0.5,-,1,1,6.60
"Martin Petrov

Bolton, 41, M(CL),FW",18(10),1471,3,5,2.1,1.4,0.2,0.1,0.1,0.9,0.7,6.60
"Pablo Ibáñez

West Brom, 39, D(L)",8(2),702,1,-,0.8,0.4,0.1,0.2,-,-,0.2,6.60
"Danny Wilson

Liverpool, 28, D(C),DMC",1(1),155,-,-,-,-,0.5,0.5,-,0.5,-,6.60
"Jens Lehmann

Arsenal, 50, GK",1,90,-,-,-,-,-,-,-,-,-,6.60
"Tim Howard

Everton, 41, GK",38,3420,-,-,-,-,-,0.2,-,-,-,6.60
"Mark Davies

Bolton, 32, M(CLR)",9(15),967,1,3,0.4,0.3,1,0.8,-,0.9,0.4,6.59
"Danny Simpson

Newcastle, 33, D(R)",30,2686,-,-,0.2,0.4,0.1,0.2,-,0.5,0.8,6.59
"Karl Henry

Wolves, 37, M(C)",28(1),2427,-,2,0.4,0.5,0.2,1.3,-,0.7,0.8,6.59
"Victor Moses

Wigan, 29, M(CLR)",8(13),812,1,3,1.1,0.8,1.3,0.9,0.2,1,0.9,6.58
"Cameron Jerome

Birmingham, 34, FW",30(4),2658,3,6,1.6,0.9,0.4,1.1,0.7,1.5,2,6.58
"Magaye Gueye

Everton, 30, AM(LR),FW",2(3),193,-,1,0.6,0.8,0.8,1.2,-,1.8,0.6,6.58
"David Jones

Wolves, 35, M(C)",11(1),955,1,-,1.3,1.1,0.3,1.1,-,1.5,0.4,6.58
"Martin Jiranek

Birmingham, 41, D(C)",10,785,-,1,0.2,0.2,0.1,0.6,-,0.3,0.2,6.58
"Ricardo Gardner

Bolton, 41, AM(C)",3(2),321,-,1,0.6,0.4,0.4,1,-,0.8,0.6,6.57
"Steven Caldwell

Wigan, 39, D(C)",8(2),812,-,-,0.2,-,-,0.9,-,0.2,0.2,6.57
"Kevin Foley

Wolves, 35, D(R)",30(3),2728,2,2,0.3,0.6,0.3,0.5,-,0.5,0.6,6.57
"George Thorne

West Brom, 27, DMC",0(1),31,-,-,1,-,-,1,-,1,1,6.57
"Peter Løvenkrands

Newcastle, 40, AM(CL),FW",18(7),1462,6,3,1.8,0.6,0.1,0.8,0.6,0.6,1.2,6.57
"Steve Sidwell

Aston Villa, 37, M(C)",1(3),118,-,-,0.3,0.3,0.3,0.8,0.3,0.8,0.3,6.57
"Gabriel Tamas

West Brom, 36, D(CR)",22(4),2037,-,-,0.7,0.3,0.2,0.5,-,0.2,0.4,6.57
"David Meyler

Sunderland, 31, D(R),DMC,M(LR)",4(1),261,-,-,-,-,-,1,-,0.6,0.8,6.57
"Stephen Carr

Birmingham, 44, D(R)",38,3375,-,-,0.2,0.4,0.2,0.7,0.1,0.5,0.5,6.56
"Richard Kingson

Blackpool, 42, GK",19(1),1697,-,-,-,-,0.2,0.1,-,-,-,6.56
"Marek Cech

West Brom, 37, D(CL)",14(1),1219,-,1,0.6,0.7,0.5,0.8,0.1,1,0.9,6.56
"Sylvan Ebanks-Blake

Wolves, 34, AM(L),FW",11(19),1308,7,3,1.5,0.6,0.1,0.8,0.4,1,1.2,6.56
"Mame Biram Diouf

Blackburn, 32, M(LR),FW",17(10),1628,3,1,1.3,0.8,0.6,1,0.6,0.7,1.4,6.55
"Dedryck Boyata

Man City, 29, D(C)",5(2),347,-,-,0.1,0.3,0.7,0.3,-,0.3,0.6,6.55
"Kieran Gibbs

Arsenal, 30, D(L),M(L)",4(3),345,-,-,0.4,0.6,0.1,0.1,-,0.6,0.3,6.55
"Somen Tchoyi

West Brom, 37, M(C)",7(16),814,6,1,1.2,0.7,1,0.6,0.2,1.2,1.6,6.55
"Zoltán Gera

Fulham, 41, M(CLR)",10(17),1111,1,1,1.5,1,0.5,1,0.1,1.4,0.8,6.55
"Luís Boa Morte

West Ham, 43, AM(C),FW",19(3),1509,-,2,0.6,1.1,0.5,1.9,-,1.5,1.5,6.55
"Marc Wilson

Stoke, 33, D(CL),DMC",21(7),1856,1,1,0.8,0.3,0.4,0.4,-,0.6,0.7,6.55
"Boudewijn Zenden

Sunderland, 44, FW",10(17),1109,2,3,1.2,1,0.3,0.6,-,0.8,0.4,6.54
"Rafik Halliche

Fulham, 34, D(C)",0(1),14,-,-,-,-,-,-,-,-,-,6.54
"Michael Mancienne

Wolves, 32, D(CLR),M(C)",13(3),1118,-,-,0.2,0.2,0.4,0.5,-,0.4,0.3,6.54
"Danny Guthrie

Newcastle, 33, M(C)",11(3),951,-,1,0.4,1.1,0.2,0.9,0.1,1.4,0.7,6.53
"Jason Roberts

Blackburn, 42, FW",13(12),1471,5,4,0.9,0.6,0.4,1,0.6,1.4,1.6,6.53
"Denílson

Arsenal, 32, M(C)",6(10),622,-,-,0.7,0.1,0.1,1.3,-,0.7,0.3,6.53
"Aliaksandr Hleb

Birmingham, 39, M(C)",13(6),1093,1,2,0.3,1.3,0.7,1.6,0.1,1.6,1,6.53
"Jordon Mutch

Birmingham, 28, M(CL)",3,244,-,1,1.3,0.7,0.7,0.7,-,0.3,1,6.53
"Emmanuel Eboué

Arsenal, 37, D(R)",8(5),705,1,-,0.4,0.2,0.8,1,-,0.5,0.5,6.53
"Fernando Torres

Chelsea, 36, FW",8(6),762,1,2,1.6,0.9,1.1,0.7,0.9,1.8,1.6,6.53
"Wilson Palacios

Tottenham, 36, M(C)",16(5),1226,-,-,0.4,0.5,0.5,0.7,-,1,0.4,6.52
"Fábio Aurélio

Liverpool, 40, D(C),FW",7(7),566,-,-,0.6,0.6,0.5,0.1,-,0.2,0.4,6.52
"Emile Heskey

Aston Villa, 42, FW",11(8),890,3,1,1.1,0.4,0.1,0.8,0.7,0.9,0.9,6.52
"Matthew Gilks

Blackpool, 38, GK",18,1576,-,-,-,-,0.1,0.2,-,-,-,6.52
"Pablo Barrera

West Ham, 33, M(R)",6(8),744,-,-,1.4,1.3,1.1,0.7,0.6,1.1,1.1,6.51
"Jack Collison

West Ham, 31, M(C)",2(1),199,-,-,2,0.7,-,-,-,1.3,2,6.51
"Junior Stanislas

West Ham, 30, M(CLR)",4(2),349,1,-,1.3,0.8,-,0.3,0.3,0.5,0.8,6.51
"Carlton Cole

West Ham, 36, FW",21(14),2117,5,2,2.1,0.9,0.4,0.9,1,3,1.8,6.50
"Nicky Shorey

West Brom, 39, D(L)",25(3),2311,-,1,0.2,1.3,0.5,0.3,-,0.6,0.5,6.50
"Winston Reid

West Ham, 32, D(C)",3(4),402,-,-,0.6,0.1,-,1,-,0.7,0.1,6.50
"Matt Phillips

Blackpool, 29, M(CLR),FW",6(21),1035,1,4,1.2,0.7,1.2,0.4,0.1,0.8,1.5,6.50
"Gabriel Agbonlahor

Aston Villa, 33, AM(CLR),FW",17(9),1605,3,1,1.1,0.8,0.5,0.8,0.2,1,1.3,6.50
"Rodrigo Moreno

Bolton, 29, M(CLR),FW",4(13),495,1,1,1.2,0.5,0.6,0.5,0.1,0.7,0.7,6.50
"David Dunn

Blackburn, 40, AM(C)",17(10),1389,2,1,0.9,0.6,0.7,0.6,-,1.1,1,6.50
"Brad Friedel

Aston Villa, 49, GK",38,3420,-,-,-,-,-,0.1,-,-,-,6.50
"John Heitinga

Everton, 36, D(C)",23(4),1897,1,-,0.6,0.2,-,0.3,-,0.4,0.1,6.49
"James Perch

Newcastle, 34, D(CLR),DMC,M(R)",9(3),869,-,-,0.3,0.3,0.1,0.6,-,0.3,0.6,6.49
"John Carew

Stoke, 41, AM(L),FW",7(3),616,1,1,1.2,0.5,0.4,1.1,0.7,2.3,2,6.49
"Jack Colback

Sunderland, 30, D(L),M(C)",6(5),583,-,-,0.5,0.5,0.5,0.8,-,0.5,0.5,6.49
"Glenn Whelan

Stoke, 36, DMC",14(15),1348,-,1,0.7,0.5,0.1,0.6,-,0.6,0.3,6.49
"Wayne Routledge

Newcastle, 35, M(CLR),FW",10(7),994,-,1,0.5,1,1.1,0.8,0.1,2.2,0.8,6.48
"Gabriel Obertan

Man Utd, 31, M(CLR),FW",3(4),283,-,-,1.1,1,0.6,0.4,0.3,1.7,0.6,6.47
"Lee Bowyer

Birmingham, 43, AM(CR),FW",24(5),2048,4,1,0.8,0.8,0.1,1.2,0.1,1,1.3,6.47
"Nicklas Bendtner

Arsenal, 32, FW",3(14),495,2,1,1.1,0.4,0.3,0.2,0.2,0.5,0.9,6.47
"Yakubu

Everton, 37, FW",7(7),669,1,1,1.4,1.1,0.2,1,0.6,1.2,1.4,6.47
"Patrick Vieira

Man City, 44, D(C),DMC",4(11),488,2,-,0.3,0.2,0.3,0.3,-,0.5,0.5,6.47
"James Beattie

Blackpool, 42, FW",5(4),433,-,3,1,1,-,1.4,-,0.7,1.3,6.47
"Elliot Grandin

Blackpool, 32, M(C)",21(2),1515,1,3,0.8,0.7,0.7,0.9,0.2,1.6,1.2,6.47
"Jean Beausejour

Birmingham, 36, D(L),M(L)",9(8),896,2,-,0.6,0.5,0.5,0.7,0.1,1,1,6.46
"Jermaine Beckford

Everton, 36, FW",14(18),1322,8,2,1.8,0.4,0.3,0.8,0.4,0.9,1.2,6.46
"Aaron Ramsey

Arsenal, 29, M(CR)",5(2),356,1,-,1.4,0.9,0.1,0.1,-,0.6,0.9,6.46
"Marlon Harewood

Blackpool, 41, FW",7(9),661,5,1,1.4,0.6,0.2,0.4,0.6,0.8,1.1,6.46
"Yossi Benayoun

Chelsea, 40, M(R)",1(6),203,1,-,0.6,0.4,-,0.3,-,0.6,-,6.45
"Lars Jacobsen

West Ham, 40, D(LR)",22(2),1995,-,-,0.2,0.3,0.2,0.2,-,0.3,0.1,6.45
"Hérita Ilunga

West Ham, 38, D(C)",10(1),867,-,-,-,0.8,0.2,0.5,-,0.5,0.6,6.45
"Radoslav Kovac

West Ham, 40, D(C)",7(6),630,-,-,0.2,0.1,0.2,0.5,-,0.4,0.3,6.44
"Freddie Sears

West Ham, 30, M(CLR),FW",9(2),762,1,-,1.3,1,0.5,0.5,0.3,1.2,1.5,6.44
"Shane Ferguson

Newcastle, 29, D(L),M(L)",3(4),309,-,-,0.4,0.3,0.9,0.9,-,0.4,0.3,6.44
"Ishmel Demontagnac

Blackpool, 32, Midfielder",0(1),33,-,-,-,-,1,3,-,-,-,6.44
"Ryan Shotton

Stoke, 31, D(CR),M(R)",0(2),50,-,-,-,-,-,0.5,0.5,0.5,-,6.44
"Adam Hammill

Wolves, 32, M(LR)",7(3),544,-,1,0.8,0.8,0.8,1.5,0.1,1.5,1,6.44
"Andrew Johnson

Fulham, 39, FW",15(12),1550,3,3,1.4,0.8,0.3,0.7,0.8,1.4,2.1,6.44
"Boaz Myhill

West Brom, 37, GK",6,540,-,-,-,-,0.2,-,-,-,-,6.44
"Darron Gibson

Man Utd, 32, M(C)",6(6),650,-,1,1.6,0.3,0.1,0.2,-,0.5,0.3,6.44
"Vince Grella

Blackburn, 40, AM(R)",4(1),310,-,-,0.2,0.2,-,0.8,-,0.8,1,6.44
"Keith Southern

Blackpool, 39, DMC",11(10),1084,-,-,0.6,0.7,0.1,0.8,-,0.6,0.5,6.43
"Niko Kranjcar

Tottenham, 36, M(CL)",2(11),368,2,-,1,0.4,0.5,0.4,-,1,0.5,6.43
"Tim Krul

Newcastle, 32, GK",20(1),1855,-,-,-,0.1,-,0.4,-,-,-,6.43
"Stephen Ward

Wolves, 35, D(L)",27(7),2396,1,1,0.5,0.6,0.3,0.8,0.4,0.7,0.9,6.43
"Marcus Hahnemann

Wolves, 48, GK",14,1260,-,-,-,0.1,-,0.1,-,-,0.1,6.43
"Abdoulaye Méité

West Brom, 39, D(C)",10,856,-,-,-,-,0.2,0.2,-,0.2,0.3,6.42
"Joe Cole

Liverpool, 38, M(LR)",9(11),797,2,1,1,0.5,0.9,0.7,0.2,0.7,0.6,6.41
"Eidur Gudjohnsen

Fulham, 41, AM(C),FW",4(6),409,-,1,1.1,0.9,0.5,0.5,0.1,1.2,0.5,6.41
"Keith Fahey

Birmingham, 37, AM(CL),FW",19(5),1522,1,1,1.3,0.3,0.4,0.5,0.1,0.8,1,6.40
"Diniyar Bilyaletdinov

Everton, 35, M(CLR)",10(16),925,2,2,1.1,0.7,0.3,0.3,-,0.8,0.7,6.40
"Nikola Kalinic

Blackburn, 32, FW",15(3),1073,5,1,1.8,0.5,0.5,1.3,0.8,1.3,1.9,6.40
"Nathan Delfouneso

Aston Villa, 29, AM(CLR),FW",2(9),392,1,-,1.3,0.5,0.6,0.3,0.3,0.5,0.6,6.40
"Manuel Almunia

Arsenal, 43, GK",8,720,-,-,-,0.1,-,0.1,-,-,-,6.39
